YPL023C	MET12	G1(P)	22
YNL218W	MGS1	G2	120
YNL160W	YGP1	G1	264
YCL014W	BUD3	G2	110
YBR158W	AMN1	M	178
YNL313C		G1(P)	8
YMR215W	GAS3	S	72
YPR019W	CDC54	G2	130
YOR023C	AHC1	G1	260
YNL068C	FKH2	G1(P)	3
YLL065W		M	154
YJR053W	BFA1	G1(P)	21
YDL179W	PCL9	M	166
YBR093C	PHO5	M	166
YFR016C		G1/S	50
YOR184W	SER1	G1(P)	22
YPR173C	VPS4	G1(P)	8
YOR320C	GNT1	G1/S	42
YOR075W	UFE1	G1(P)	38
YLR194C		M	167
YDL155W	CLB3	G1	283
YOR198C	BFR1	S	56
YNL333W	SNZ2	G1/S	50
YLR214W	FRE1	G1(P)	297
YGR143W	SKN1	G2/M	144
YGL028C	SCW11	M/G1	184
YPR104C	FHL1	S	80
YMR190C	SGS1	S	84
YJR076C	CDC11	S	72
YBL046W		M/G1	182
YBR007C		G1(P)	22
YAR071W	PHO11	G1	252
YNL197C	WHI3	M	158
YDR342C	HXT7	M	154
YBL032W	HEK2	S	72
YAR060C		G1	220
YPR106W	ISR1	M	175
YOL030W	GAS5	G1(P)	19
YLL062C	MHT1	G1(P)	36
YJL078C	PRY3	M/G1	182
YGL216W	KIP3	G1	287
YER145C	FTR1	G1(P)	28
YDL219W	DTD1	G1(P)	29
YKL130C	SHE2	G2	94
YHR086W	NAM8	S	58
YOR264W	DSE3	M	170
YMR160W		G1	204
YGL022W	STT3	G1/S	50
YLR034C	SMF3	M/G1	182
YJL137C	GLG2	G2/M	134
YFR031C	SMC2	S	61
YFL016C	MDJ1	G1/S	48
YAL069W		G1	269
YPR004C		G1(P)	28
YLR343W		G1	289
YIL156W	UBP7	G1	229
YIL131C	FKH1	S	67
YGR098C	ESP1	S	70
YFR038W		G1/S	41
YEL074W		M	157
YDR343C	HXT6	M	154
YLR057W		G1(P)	9
YHR160C	PEX18	M	146
YGR295C	COS6	M	160
YER152C		G2	128
YPL066W		G1	212
YML059C		S	85
YDL227C	HO	G1	243
YML058W	SML1	G1(P)	21
YDR150W	NUM1	G1	264
YOR115C	TRS33	G1(P)	16
YNL216W	RAP1	M	160
YGR044C	RME1	M/G1	187
YDR516C	EMI2	G2	126
YBR156C	SLI15	S	72
YBL109W		M	158
YPL036W	PMA2	G1	225
YHL040C	ARN1	S	69
YGL210W	YPT32	G1	207
YER124C	DSE1	M/G1	190
YPL227C	ALG5	S	61
YIL162W	SUC2	G1/S	52
YDR532C		G1	226
YOR313C	SPS4	G2	100
YMR102C		G1	218
YKR054C	DYN1	G2	95
YJR148W	BAT2	M	154
YHL028W	WSC4	G2	96
YFR053C	HXK1	G2/M	138
YNL046W		M	168
YML085C	TUB1	S	70
YGL174W	BUD13	G1(P)	25
YDR528W	HLR1	G1(P)	30
YIL050W	PCL7	S	60
YGR142W	BTN2	G1	234
YBR278W	DPB3	M	152
YML064C	TEM1	M	159
YDL180W		G1(P)	33
YNL291C	MID1	G1/S	41
YMR002W		G2	125
YER122C	GLO3	S	68
YDL138W	RGT2	G2/M	133
YOL012C	HTZ1	S	78
YLR210W	CLB4	S	80
YIL129C	TAO3	G2	128
YCR042C	TAF2	M/G1	185
YCL040W	GLK1	M	162
YAL068C		G1	239
YPL269W	KAR9	S	68
YOR326W	MYO2	S	83
YJR144W	MGM101	G1(P)	298
YHR108W	GGA2	S	60
YGL083W	SCY1	G1/S	48
YDL056W	MBP1	S	74
YNL298W	CLA4	G1(P)	21
YJL196C	ELO1	G2	130
YDR356W	SPC110	S	66
YBR139W		M	172
YOR307C	SLY41	G1(P)	2
YAL024C	LTE1	G1(P)	20
YPR034W	ARP7	M	152
YNL336W	COS1	G1	230
YGL008C	PMA1	G1(P)	18
YOR127W	RGA1	G1(P)	30
YLR438W	CAR2	G2/M	144
YJL218W		G1/S	50
YJL216C		M	154
YGL101W		M	158
YDR263C	DIN7	G1/S	40
YDR077W	SED1	M	170
YDR011W	SNQ2	G1	260
YCL064C	CHA1	G1/S	48
YBR086C	IST2	S	83
YLR353W	BUD8	G2	102
YIL144W	TID3	S	74
YOL112W	MSB4	G1(P)	28
YJL059W	YHC3	M	163
YHR092C	HXT4	G1(P)	2
YER104W	RTT105	G2	130
YDR499W	LCD1	G1	252
YBR200W	BEM1	G2	124
YOR375C	GDH1	G1(P)	20
YOL113W	SKM1	G1/S	48
YJL002C	OST1	G2	117
YHR039C	MSC7	G1(P)	36
YGL097W	SRM1	G1(P)	14
YDL090C	RAM1	M/G1	186
YCR023C		G2	130
YOR086C		M/G1	185
YJL118W		S	76
YIL122W	POG1	G1	256
YGR055W	MUP1	G1(P)	2
YER072W	VTC1	G1(P)	23
YDL128W	VCX1	M	164
YLR459W	CDC91	G2/M	132
YJL172W	CPS1	G1	252
YIL139C	REV7	S	60
YHR135C	YCK1	G2	128
YDR227W	SIR4	G2	91
YBR112C	CYC8	G2	126
YLR437C		M	146
YLR436C	ECM30	M	156
YKL049C	CSE4	S	88
YJL034W	KAR2	G1	231
YGL257C	MNT2	S	60
YER004W		M	174
YEL065W	SIT1	G2	110
YDL052C	SLC1	G1/S	40
YPR157W		G2/M	136
YHR107C	CDC12	S	68
YDR176W	NGG1	M	175
YBR203W	COS111	M	146
YBR123C	TFC1	S	74
YAL049C		M	169
YOR382W	FIT2	G2	126
YOR083W	WHI5	M	168
YNR062C		M	175
YNL192W	CHS1	M	168
YMR127C	SAS2	G1(P)	14
YMR075W		G1	216
YHR113W		G2/M	134
YDR277C	MTH1	G1	256
YBR289W	SNF5	M	174
YNR028W	CPR8	S	80
YHR110W	ERP5	G2/M	144
YBL008W	HIR1	G1	204
YOR099W	KTR1	M	158
YNL326C		G1(P)	14
YNL015W	PBI2	M	163
YGL209W	MIG2	G2/M	142
YBL085W	BOI1	G1/S	39
YNL087W		G1(P)	20
YMR030W	RSF1	M	150
YKR069W	MET1	G1(P)	19
YKR067W	GPT2	G2/M	136
YJR115W		G1	253
YDR147W	EKI1	S	82
YHR143W	DSE2	M/G1	190
YHR005C	GPA1	G2	128
YGL185C		G1/S	39
YBR008C	FLR1	G1	279
YOR301W	RAX1	G1(P)	32
YMR292W	GOT1	S	64
