Id	Name	Peak(min)	Error	Score
YGL065C	ALG2	44	NQ	2.15
YEL047C	YEL047C	153.5	NQ	1.97
YEL047C	YEL047C	54	NQ	1.69
YBR015C	MNN2	182.5	NQ	1.61
YBR015C	MNN2	23.5	NQ	2.86
YNL088W	TOP2	138.5	NA	1.59
YNL088W	TOP2	58.5	1.721	2.16
YNR067C	DSE4	171.5	1.231	17.83
YEL076C-A				
YDR451C	YHP1	82.5	1.008	6.97
YDR219C	YDR219C	142	NQ	2.47
YDR219C	YDR219C	60.5	NQ	2.12
YOR327C	SNC2	157.5	3.472	2.51
YOR327C	SNC2	291	NA	1.79
YMR095C	SNO1	280.5	NQ	1.71
YMR095C	SNO1	38	NQ	1.84
YOL033W	MSE1	49.5	1.011	7.81
YGR012W	YGR012W	135.5	NQ	1.75
YGR012W	YGR012W	47	NQ	2.74
YGL012W	ERG4	30	NQ	12.20
YPL241C	CIN2	46	1.497	5.96
YOL158C	ENB1	127.5	NQ	2.31
YOL158C	ENB1	31	NQ	1.04
YMR058W	FET3	34.5	0.724	15.17
YLR050C	YLR050C	124.5	NQ	1.44
YLR050C	YLR050C	44	NQ	2.17
YJR057W	CDC8	152	NQ	1.53
YJR057W	CDC8	53	NQ	2.56
YGR177C	ATF2	27	NQ	2.77
YDR183W	PLP1	50	NQ	2.00
YBR042C	YBR042C	175	NQ	1.88
YBR042C	YBR042C	3.5	NQ	1.76
YML065W	ORC1	226.5	NA	1.25
YML065W	ORC1	86.5	3.814	3.61
YIR010W	DSN1	130.5	NA	1.71
YIR010W	DSN1	70	2.401	2.34
YNR001C	CIT1	170.5	NQ	2.18
YNR001C	CIT1	46.5	NQ	2.41
YNL188W	KAR1	161.5	168.816	2.06
YNL188W	KAR1	2	168.816	2.34
YDR261C	EXG2	68	2.572	3.48
YDR055W	PST1	164	0.738	9.64
YPL158C	YPL158C	165	0.583	17.25
YNL165W	YNL165W	168	NQ	2.09
YNL165W	YNL165W	262.5	NQ	2.60
YLR455W	YLR455W	6.5	NQ	1.68
YLR455W	YLR455W	70.5	NQ	2.58
YLR272C	YCS4	67	6.228	3.21
YML052W	SUR7	124	6.592	4.26
YJR054W	YJR054W	4.5	NQ	2.01
YJR054W	YJR054W	95.5	NQ	2.45
YJL097W	YJL097W	240.5	NQ	1.85
YJL097W	YJL097W	35	NQ	1.95
YGR042W	YGR042W	148	NQ	2.64
YGR042W	YGR042W	254.5	NQ	2.17
YDR089W	YDR089W	120.5	NQ	1.80
YDR089W	YDR089W	22	NQ	4.59
YDL248W	COS7	153	NQ	2.56
YDL248W	COS7	47	NQ	1.61
YOR368W	RAD17	46	3.073	3.86
YOL069W	NUF2	161.5	1.820	2.97
YOL069W	NUF2	81	NA	1.76
YML132W	COS3	221.5	NQ	2.79
YML132W	COS3	49	NQ	1.48
YKL046C	DCW1	26	NQ	2.60
YKL046C	DCW1	82	NQ	1.71
YJL194W	CDC6	145	1.140	3.81
