Gene name,ORF name,cer Ace2,par Ace2,Hyc Ace2,Hyp Ace2,cer Swi5,par Swi5,Hyc Swi5,Hyp Swi5,cer Fkh1,par Fkh1,Hyc Fkh1,Hyp Fkh1,cer Fkh2,par Fkh2,Hyc Fkh2,Hyp Fkh2
TRM2,YKR056W,184.348496,279.1628572,239.7630969,293.5740943,465.8405059,98.92042733,446.5070921,303.075063,455.2078803,474.5403688,546.2660356,514.9972624,718.2168358,509.6478477,305.5510694,645.6840299
RPS21A,YKR057W,222.1302239,327.2193778,362.981111,409.4846089,551.1928051,157.4241942,395.5574674,329.379153,936.1086942,462.4004126,829.5150911,426.9056254,862.0681381,451.0690546,577.127764,429.341102
GLG1,YKR058W,322.2339342,645.0255449,485.6899141,614.4735356,546.7461311,734.0100856,411.3971949,503.557891,509.1436938,1002.365313,579.9861613,575.9837803,1174.034756,1064.628828,1315.369887,1304.298273
TIF1,YKR059W,528.8443487,952.1327313,698.1857825,956.2361379,668.338736,378.7834715,760.0132635,979.6632341,725.7802815,1041.70071,1220.668549,914.7977687,1499.206205,1218.292966,1351.910077,1078.383946
UTP30,YKR060W,235.50873,350.3703484,271.1623341,324.9360152,462.1604787,246.6336209,363.9555319,272.4426519,391.9563272,157.5666614,269.7610052,284.6037503,372.5582067,230.50374,113.1842375,176.233877
KTR2,YKR061W,255.0928219,440.9827073,510.7102674,390.8722761,532.1762043,143.3332197,380.9006702,298.8779756,422.7720415,275.0326854,370.9213822,74.53907745,827.95338,351.9018044,582.9813374,131.272832
TFA2,YKR062W,425.2391562,1036.700503,583.057907,710.0762062,526.8434834,435.1745933,408.2280892,378.5871838,456.2588452,683.3919401,451.8496838,291.38003,839.3131276,824.9462667,657.6570208,712.1079246
LAS1,YKR063C,213.3517798,279.8199393,364.7687138,385.1094561,565.000626,110.4876912,315.0705865,298.4250416,345.0720005,265.3304161,67.44025131,250.7223514,340.8735483,286.0874818,146.5383697,341.29627
OAF3,YKR064W,251.8509782,227.0568133,460.684842,368.0884357,570.565421,219.1191192,384.4182216,367.8834893,315.7257698,345.0936692,121.3924524,189.7358335,336.7457982,319.6557593,93.21173617,335.9480494
PAM17,YKR065C,316.3917675,803.6137665,439.5934812,786.8228708,569.8203194,827.8756842,514.3483376,1642.20111,934.1933441,889.5270837,1625.310057,1802.490418,819.2104758,748.0282051,963.906798,1321.456167
CCP1,YKR066C,824.6388992,1326.857644,1169.728664,822.5264513,812.9433506,589.7641952,814.5225674,459.6361533,279.8534246,952.7615066,182.0886785,189.7358335,553.0956407,817.8275994,653.4819857,769.5076436
GPT2,YKR067W,808.9831758,1225.775665,1102.036944,763.6763508,813.8751551,631.6074347,778.895469,473.8213232,303.4710311,796.0708885,161.8566031,128.7493156,552.6970957,684.1972312,627.5012827,707.6563192
BET3,YKR068C,648.1377835,606.2990223,857.2920704,652.3820259,813.176084,767.5057459,728.2407242,628.1086839,707.6698815,1163.365165,708.1226387,1443.347591,865.0920674,1637.970759,1020.626352,2325.552179
MET1,YKR069W,612.9026309,686.1840061,842.2102214,638.4243375,812.4397899,653.3513703,681.4594747,641.4575267,774.4311416,1086.716541,843.0031414,1402.689912,869.1640161,1582.989703,1056.602588,2334.857844
YKR070W,YKR070W,214.4009268,336.9405855,233.5018815,307.2913663,633.8176836,342.7368242,772.427613,336.6398313,186.3270037,148.8200757,141.6245277,108.4204763,190.1471724,208.3714135,67.48632459,84.32950354
DRE2,YKR071C,250.7939069,330.2754276,353.3745484,354.052106,451.6112593,161.0908786,408.8299167,495.732081,410.6510031,297.1623095,391.1534576,250.7223514,526.455677,272.6681821,242.5957346,243.5405123
SIS2,YKR072C,286.7109997,1503.473564,573.6307905,2391.455022,484.0737677,2173.639019,526.1806567,1252.269196,301.3608897,654.1171939,303.4811309,914.7977687,487.2562953,832.0833085,856.5104268,2394.729878
YKR073C,YKR073C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AIM29,YKR074W,231.8725467,1062.301115,385.9693017,1216.082452,443.5444057,1926.858016,395.6952643,968.382621,272.614303,630.6336846,161.8566031,474.3395838,482.3661083,961.5716862,431.3235019,1861.711481
YKR075C,YKR075C,650.8472879,3210.926164,1174.553224,2708.144772,584.2894427,3449.004481,475.7475673,2201.169115,713.9585786,1678.612131,681.1465382,1043.547084,2847.476243,4354.393703,3599.909639,5515.778587
ECM4,YKR076W,274.2106032,1196.252767,404.7578217,869.8705684,520.4541731,1462.817908,737.5722733,999.964731,348.7457705,912.9396102,418.1295581,589.5363398,294.8860626,1190.693109,333.5775864,1398.310396
MSA2,YKR077W,236.9516416,516.8181679,405.86748,492.3607637,516.8786522,564.3895621,385.9174524,435.5253594,439.719556,389.0256987,424.8735832,393.0242266,366.7690548,316.4269838,340.738368,323.399849
YKR078W,YKR078W,197.3615959,404.4019737,256.3363245,266.8197004,503.9260346,508.5816634,334.1393438,283.120808,295.9429812,177.3382391,182.0886785,338.8139884,201.0797046,215.1394944,107.2485658,289.6288495
TRZ1,YKR079C,482.1822822,1026.49572,808.684152,1008.458707,610.0393941,892.6330039,794.4165004,686.8304046,749.8718316,810.3299702,964.3955937,704.7330959,1457.06209,894.1045731,1551.682104,2436.628029
MTD1,YKR080W,604.753382,1060.028521,1140.245978,1142.954379,666.4320356,912.0550051,1011.068505,752.4123009,825.5759535,787.2446624,971.1396189,765.7196138,1868.949833,946.2458434,1784.642759,2513.736555
RPF2,YKR081C,225.7203799,284.4808797,337.3807509,380.1088729,440.764858,102.2304933,404.1806709,433.4137982,632.3317864,440.1513281,667.658488,318.4851491,820.0468844,365.8069271,565.3743399,240.9314784
